codadesao;cod_ata;cod_uasg;procsei;dataregistro;datasolic;encaminhaoficio;recebrespfornec;enviorespcentral;status
4;90;15769;00000.000000/0000-00;2019/07/18 15:18:29.000000000;2018/07/19 00:00:00.000;;;;0                                                                                                                                                                                                                                                              
5;90;243;05110.003669/2018-67;2019/07/18 15:18:29.000000000;2018/07/17 00:00:00.000;2018/07/24 00:00:00.000;2018/08/27 00:00:00.000;2018/08/27 00:00:00.000;1                                                                                                                                                                                                                                                              
6;90;11781;00000.000000/0000-00;2019/07/18 15:18:29.000000000;2018/07/17 00:00:00.000;;;;0                                                                                                                                                                                                                                                              
7;90;4930;00000.000000/0000-00;2019/07/18 15:18:29.000000000;2018/07/13 00:00:00.000;;;;0                                                                                                                                                                                                                                                              
8;90;981;00000.000000/0000-00;2019/07/18 15:18:29.000000000;2018/07/11 00:00:00.000;;;;0                                                                                                                                                                                                                                                              
9;90;5885;00000.000000/0000-00;2019/07/18 15:18:29.000000000;2018/07/11 00:00:00.000;;;;0                                                                                                                                                                                                                                                              
10;90;1858;00000.000000/0000-00;2019/07/18 15:18:29.000000000;2018/07/10 00:00:00.000;;;;0                                                                                                                                                                                                                                                              
11;90;15769;00000.000000/0000-00;2019/07/18 15:18:29.000000000;2018/07/19 00:00:00.000;;;;0                                                                                                                                                                                                                                                              
12;90;6359;00000.000000/0000-00;2019/07/18 15:18:29.000000000;2018/07/19 00:00:00.000;;;;0                                                                                                                                                                                                                                                              
13;90;10612;00000.000000/0000-00;2019/07/18 15:18:29.000000000;2018/07/19 00:00:00.000;;;;0                                                                                                                                                                                                                                                              
14;90;3762;00000.000000/0000-00;2019/07/18 15:18:29.000000000;2018/07/19 00:00:00.000;;;;0                                                                                                                                                                                                                                                              
15;90;6414;00000.000000/0000-00;2019/07/18 15:18:29.000000000;2018/07/19 00:00:00.000;;;;0                                                                                                                                                                                                                                                              
16;90;5889;00000.000000/0000-00;2019/07/18 15:18:29.000000000;2018/07/19 00:00:00.000;;;;0                                                                                                                                                                                                                                                              
17;90;1911;00000.000000/0000-00;2019/07/18 15:18:29.000000000;2018/07/19 00:00:00.000;;;;0                                                                                                                                                                                                                                                              
18;90;11060;00000.000000/0000-00;2019/07/18 15:18:29.000000000;2018/07/19 00:00:00.000;;;;0                                                                                                                                                                                                                                                              
19;90;10513;00000.000000/0000-00;2019/07/18 15:18:29.000000000;2018/07/19 00:00:00.000;;;;0                                                                                                                                                                                                                                                              
20;90;10489;                    ;2019/07/18 15:18:29.000000000;2018/07/19 00:00:00.000;;;;0                                                                                                                                                                                                                                                              
21;90;12643;                    ;2019/07/18 15:18:29.000000000;2018/07/19 00:00:00.000;;;;0                                                                                                                                                                                                                                                              
22;90;7905;                    ;2019/07/18 15:18:29.000000000;2018/07/19 00:00:00.000;;;;0                                                                                                                                                                                                                                                              
23;90;15765;                    ;2019/07/18 15:18:29.000000000;2018/07/19 00:00:00.000;;;;0                                                                                                                                                                                                                                                              
24;90;10613;05110.003754/2018-25;2019/07/18 15:18:29.000000000;2018/08/31 00:00:00.000;2018/08/31 00:00:00.000;2018/09/03 00:00:00.000;2018/09/04 00:00:00.000;1                                                                                                                                                                                                                                                              
25;90;9989;05110.003779/2018-29;2019/07/18 15:18:29.000000000;2018/08/16 00:00:00.000;2018/08/16 00:00:00.000;2018/08/31 00:00:00.000;2018/09/05 00:00:00.000;1                                                                                                                                                                                                                                                              
26;90;11632;                    ;2019/07/18 15:18:29.000000000;2018/07/19 00:00:00.000;;;;0                                                                                                                                                                                                                                                              
